Row Labels,"Sum of Giardiasis, Previous 52 weeks Med"
ALABAMA,206
ALASKA,74
AMER. SAMOA,0
ARIZONA,127
ARKANSAS,124
C.N.M.I.,
CALIFORNIA,2334
COLORADO,141
CONNECTICUT,205
DELAWARE,0
DIST. OF COL.,0
E.N. CENTRAL,1340
E.S. CENTRAL,206
FLORIDA,1107
GEORGIA,604
GUAM,0
HAWAII,32
IDAHO,156
ILLINOIS,0
INDIANA,155
IOWA,162
KANSAS,104
KENTUCKY,0
LOUISIANA,155
MAINE,104
MARYLAND,223
MASSACHUSETTS,631
MICHIGAN,418
MID. ATLANTIC,2572
MINNESOTA,53
MISSISSIPPI,0
MISSOURI,58
MONTANA,78
MOUNTAIN,844
NEBRASKA,104
NEVADA,14
NEW ENGLAND,1069
NEW HAMPSHIRE,104
NEW JERSEY,229
NEW MEXICO,52
NEW YORK,859
NEW YORK CITY,833
NORTH CAROLINA,0
NORTH DAKOTA,25
OHIO,345
OKLAHOMA,0
OREGON,312
PACIFIC,3233
PENNSYLVANIA,610
PUERTO RICO,0
RHODE ISLAND,32
S. ATLANTIC,2549
SOUTH CAROLINA,104
SOUTH DAKOTA,104
TENNESSEE,0
TEXAS,0
UNITED STATES,12854
UTAH,159
VERMONT,0
VIRGIN ISL.,0
VIRGINIA,290
W.N. CENTRAL,693
W.S. CENTRAL,303
WASHINGTON,311
WEST VIRGINIA,52
WISCONSIN,427
WYOMING,1
Grand Total,37881
