Row Labels,"Sum of Giardiasis, Previous 52 weeks Med"
ALABAMA,182
ALASKA,52
AMER. SAMOA,0
ARIZONA,144
ARKANSAS,117
C.N.M.I.,
CALIFORNIA,2322
COLORADO,516
CONNECTICUT,196
DELAWARE,0
DIST. OF COL.,30
E.N. CENTRAL,1548
E.S. CENTRAL,182
FLORIDA,964
GEORGIA,416
GUAM,0
HAWAII,40
IDAHO,115
ILLINOIS,0
INDIANA,156
IOWA,221
KANSAS,104
KENTUCKY,0
LOUISIANA,47
MAINE,104
MARYLAND,156
MASSACHUSETTS,509
MICHIGAN,414
MID. ATLANTIC,2691
MINNESOTA,68
MISSISSIPPI,0
MISSOURI,208
MONTANA,85
MOUNTAIN,1150
NEBRASKA,104
NEVADA,19
NEW ENGLAND,972
NEW HAMPSHIRE,104
NEW JERSEY,241
NEW MEXICO,52
NEW YORK,830
NEW YORK CITY,974
NORTH CAROLINA,0
NORTH DAKOTA,22
OHIO,332
OKLAHOMA,0
OREGON,335
PACIFIC,3151
PENNSYLVANIA,563
PUERTO RICO,0
RHODE ISLAND,51
S. ATLANTIC,2157
SOUTH CAROLINA,183
SOUTH DAKOTA,90
TENNESSEE,0
TEXAS,0
UNITED STATES,13020
UTAH,157
VERMONT,0
VIRGIN ISL.,0
VIRGINIA,264
W.N. CENTRAL,919
W.S. CENTRAL,221
WASHINGTON,202
WEST VIRGINIA,41
WISCONSIN,511
WYOMING,0
Grand Total,38252
