Row Labels,"Sum of Giardiasis, Previous 52 weeks Med"
ALABAMA,192
ALASKA,70
AMER. SAMOA,0
ARIZONA,137
ARKANSAS,156
C.N.M.I.,
CALIFORNIA,2634
COLORADO,521
CONNECTICUT,217
DELAWARE,0
DIST. OF COL.,0
E.N. CENTRAL,1413
E.S. CENTRAL,192
FLORIDA,1047
GEORGIA,631
GUAM,0
HAWAII,47
IDAHO,156
ILLINOIS,0
INDIANA,158
IOWA,231
KANSAS,96
KENTUCKY,0
LOUISIANA,74
MAINE,104
MARYLAND,188
MASSACHUSETTS,506
MICHIGAN,504
MID. ATLANTIC,2627
MINNESOTA,73
MISSISSIPPI,0
MISSOURI,257
MONTANA,104
MOUNTAIN,1235
NEBRASKA,104
NEVADA,46
NEW ENGLAND,1021
NEW HAMPSHIRE,88
NEW JERSEY,237
NEW MEXICO,67
NEW YORK,816
NEW YORK CITY,904
NORTH CAROLINA,0
NORTH DAKOTA,13
OHIO,268
OKLAHOMA,0
OREGON,290
PACIFIC,3489
PENNSYLVANIA,564
PUERTO RICO,0
RHODE ISLAND,50
S. ATLANTIC,2412
SOUTH CAROLINA,127
SOUTH DAKOTA,104
TENNESSEE,0
TEXAS,0
UNITED STATES,13646
UTAH,151
VERMONT,0
VIRGIN ISL.,0
VIRGINIA,245
W.N. CENTRAL,909
W.S. CENTRAL,247
WASHINGTON,257
WEST VIRGINIA,40
WISCONSIN,424
WYOMING,16
Grand Total,40105
